Nfrequ1,Nfrequ2,Nfrequ3,max_disp_cm,Mass_Kg,util_average
1,1.3,2,71.82,184320,3.764846
1,1.4,3.5,11.4,312402,1.374871
2.3,3.6,5.7,2.565,220215,0.613419
2.5,4.3,6.2,0.57,184431,0.354233
1,1.2,2.5,35.91,105400,1.78484
2.9,3.4,4.5,6.555,132043,0.645994
2.8,4.9,5.4,3.42,196954,0.379616
1.4,2.3,3.2,11.685,140820,0.636568
1.6,3.2,5.7,2.85,271380,0.46955
3.3,4.5,5,5.7,139340,0.679802
2.2,3.5,3.7,5.985,188038,0.553089
2.3,3.5,4.2,5.415,190101,0.833651
1.5,2.7,4.9,4.275,180998,0.596531
1.2,1.4,3,21.66,175544,0.92704
1.4,1.5,3,25.365,181374,1.046393
1.9,3.6,6.5,0.855,226097,0.250872
1.1,2.5,4.3,3.135,151493,0.592408
1.2,2.5,5.2,2.85,218247,0.503824
2.6,2.7,3.6,8.55,202377,1.500986
1.1,2.8,5.2,3.705,379732,0.619827
2,3.2,4.9,2.28,211716,0.489441
2.5,4,6,1.995,260883,0.312938
2.9,4.7,6.4,1.425,191851,0.437662
3,4.5,5.5,3.135,216231,0.67434
1.4,2.4,4.1,5.985,185713,0.853737
1.3,2.1,2.8,33.345,199422,1.747347
2.4,3.7,5.1,3.42,211592,0.431299
1.5,2.9,4.4,4.275,204014,0.70079
2.3,3.7,4.6,5.13,192534,0.611527
2.7,4.1,6.5,1.71,151634,0.324787
1.1,2.7,4.8,3.705,296082,0.511047
2.5,3.3,4.2,6.555,204119,0.736106
2.7,3.6,4.1,7.98,141962,0.536709
2.1,2.7,3,23.655,143144,1.419322
1,2.2,3,11.4,122182,1.027719
1.7,2.5,3,15.105,165826,1.142057
1.3,1.5,1.7,54.72,98820,4.214289
0.5,0.8,1.2,452.865,241798,8.506367
0.2,0.7,1.7,1894.11,255478,26.139063
1.8,3.1,5.7,2.85,224435,0.64367
0.5,1,1.5,420.945,227546,8.337895
0.3,0.4,0.8,1385.1,139854,27.97889
1.8,3.7,4.6,4.845,141671,1.065772
3.8,7.2,8.3,1.71,381971,0.254441
3.5,4,5.4,3.99,181571,0.429122
0.9,2.3,2.8,9.975,184353,1.203059
1,1.4,2,26.505,203970,3.255089
1.8,3.2,6,1.14,268620,0.439313
2.8,5.2,6.8,0.855,191383,0.240751
2.6,3.9,6.1,1.995,148561,0.472901
1.4,1.5,3.5,9.69,217180,0.76849
0.6,1.7,1.8,221.16,181539,4.378114
2.2,3.8,5.2,1.425,124643,0.359414
3.1,4.7,7,0.855,245165,0.238027
1.8,3.3,6.1,1.995,200472,0.454993
1.3,2.7,4.7,2.85,200646,0.382532
1.4,2.7,4.6,5.13,166616,0.835117
1.2,2.2,2.8,26.505,105450,1.074969
3.1,4.7,6.4,1.995,151504,0.489373
2.4,4.9,6.6,1.14,142391,0.448726
0.7,0.9,1.7,130.815,199116,3.119907
1.3,3.2,5.8,1.71,191138,0.287027
0.2,0.9,1.3,1863.33,213399,16.586295
1.4,1.5,3.2,13.395,203068,1.602159
2.4,3.4,3.7,5.7,98229,0.551771
1.3,1.9,2.6,10.26,110212,1.564694
2.7,4,5.7,3.135,126627,0.393019
1,1.4,3.5,13.68,237160,1.168905
1.2,2.8,5.6,2.85,391304,0.607417
1.5,2.7,4.6,2.565,165053,0.910448
3.9,4.2,4.8,5.985,221833,0.853649
1.3,2.8,4.4,5.13,181786,0.877798
1.2,3,6,2.28,326179,0.341924
2.1,3.4,3.8,5.985,135574,0.949276
1.6,2.6,3.2,6.27,198393,1.037754
0.2,0.7,1.2,3350.175,168248,32.162247
4.1,5.5,6.5,2.85,240334,0.631905
0.8,1,1.9,95.19,183973,3.211991
2.9,5.2,6.9,1.425,172804,0.447559
